task_id,source_exp,candidate_path,base_cost,candidate_cost,validation_status,local_delta,computed_local_delta,risk,adoption_status
392,exp260_current_rank141_220_fullarc_bypass_sweep,7eed8807bc3f75b2bbc99a0b171f5b007e18d1415cf40561d9f9f73071c86466,30870.0,30868.0,266_pass_0_fail,0.0,6.478991871121492e-05,low,accepted
232,exp260_current_rank141_220_fullarc_bypass_sweep,721738426a6cb04b6fab1bc81ec7bd0c5e1c2af6e5d46ad0cf1757316351d67c,29497.0,25577.0,266_pass_0_fail,0.0,0.14259505311059498,low,accepted
178,exp260_current_rank141_220_fullarc_bypass_sweep,d99517b67fe5802c672cbffb3641e6dcd4775c4f9e1cf50e6502b75c3325ed39,29279.0,28887.0,266_pass_0_fail,0.0,0.013478868578162653,low,accepted
245,exp260_current_rank141_220_fullarc_bypass_sweep,05d00617d41c02bae82bcb30310862d799b17e92a8e7cd280a82765789a4f7d2,29012.0,29004.0,266_pass_0_fail,0.0,0.0002757859918197853,low,accepted
343,exp260_current_rank141_220_fullarc_bypass_sweep,494e496c4690595c25f4a93c46a194a93093888aa0ac685fc74b72d8e012346a,28656.0,28026.0,266_pass_0_fail,0.0,0.022230194570329903,low,accepted
96,exp260_current_rank141_220_fullarc_bypass_sweep,a1c16e6904e0b99b013eae6b95670362bcbcbc9db56d50bdeaff69e24ea8f8c6,26948.0,26944.0,266_pass_0_fail,0.0,0.00014844503849714992,low,accepted
55,exp260_current_rank141_220_fullarc_bypass_sweep,2116ff041c42e7a68dba723a7433192532c2f9767ae0216e105ed0dc4cbacbb6,26370.0,26310.0,266_pass_0_fail,0.0,0.002277905312993867,low,accepted
86,exp260_current_rank141_220_fullarc_bypass_sweep,eb81a59faed292f56c40ae939a8e31c4554cb4910fe448e56899f65e9d66df2b,25857.0,25713.0,266_pass_0_fail,0.0,0.005584656748516483,low,accepted
310,exp260_current_rank141_220_fullarc_bypass_sweep,252d73dc140a5b93d68d080e92b385cf031449a4525d030f351504c0f30406fe,25739.0,25731.0,266_pass_0_fail,0.0,0.0003108606980541712,low,accepted
228,exp260_current_rank141_220_fullarc_bypass_sweep,d8c28f18b2b3fcee8ab51f69b1a260d2e602a9b95dfa1b2bd1b551fe812583be,25086.0,24886.0,266_pass_0_fail,0.0,0.00800452524904343,low,accepted
289,exp260_current_rank141_220_fullarc_bypass_sweep,caba0d5ad9f2bf687898692abe86e3b80cab91814862554a54dc4958e58ce5b8,24972.0,20472.0,266_pass_0_fail,0.0,0.1986970983420099,low,accepted
390,exp260_current_rank141_220_fullarc_bypass_sweep,4bf944bc503db6ebad76b6f8791c21922aff9811f54b1069c111d3cb93ca19b1,24692.0,24452.0,266_pass_0_fail,0.0,0.00976729236517041,low,accepted
163,exp260_current_rank141_220_fullarc_bypass_sweep,a8256046d18df5aa3b031e48549242c0546543014931f2b4be950b98457973cd,24085.0,24077.0,266_pass_0_fail,0.0,0.00033221212049245924,low,accepted
82,exp260_current_rank141_220_fullarc_bypass_sweep,b705da22dbb3042f7b5ab11f177b4bf5549f3d186ff8abcee90e1d0c66c390d6,23479.0,20239.0,266_pass_0_fail,0.0,0.14849496853105185,low,accepted
287,exp260_current_rank141_220_fullarc_bypass_sweep,63305a4db9bcf2d441d194d41e26cf6afa27db1420b6c0a2e229a7e900739450,22566.0,20006.0,266_pass_0_fail,0.0,0.12041212015326529,low,accepted
74,exp260_current_rank141_220_fullarc_bypass_sweep,9922bd069a9b4dac892fd816e333f0b5a3b91237342c1f48672e48b242a2409b,21825.0,20925.0,266_pass_0_fail,0.0,0.04211148535012685,low,accepted
308,exp260_current_rank141_220_fullarc_bypass_sweep,864626715def52678268a4f974ce0afadd77013c27d7e3c0d7080c346f1ebfc6,21799.0,21759.0,266_pass_0_fail,0.0,0.0018366321338931385,low,accepted
371,exp260_current_rank141_220_fullarc_bypass_sweep,4c6f30ec0ee84bc44f3a6190831b491bddcdf677b7a17aa5e7ebeb868f1e399d,21181.0,20789.0,266_pass_0_fail,0.0,0.018680552746884085,low,accepted
256,exp260_current_rank141_220_fullarc_bypass_sweep,243f7b43ffba47080390bd7bf79aee4d9a8a514ddda066be1b771a587d772c10,21123.0,20785.0,266_pass_0_fail,0.0,0.01613092150050516,low,accepted
397,exp260_current_rank141_220_fullarc_bypass_sweep,df48831c9d45d01078008d52fbc4312c9e840f5fa000d48f873e829b057d41fe,21041.0,20800.0,266_pass_0_fail,0.0,0.011519928549903007,low,accepted
168,exp260_current_rank141_220_fullarc_bypass_sweep,aacfcd4a1e74288a71fdaacd809d1d73d994a558f891d28092b6c9efb2d0a940,20403.0,20203.0,266_pass_0_fail,0.0,0.009850840630205797,low,accepted
59,exp260_current_rank141_220_fullarc_bypass_sweep,fc30308d29249aad94b10a129eabae6286438e03de93c81a47365568e89edd57,20387.0,20145.0,266_pass_0_fail,0.0,0.011941324171691182,low,accepted
341,exp260_current_rank141_220_fullarc_bypass_sweep,cdb0234a76a4b17e7ae50e47ee2914a2d92b16f82d379301fe4689b6a1733d84,18865.0,18813.0,266_pass_0_fail,0.0,0.0027602331872804177,low,accepted
319,exp260_current_rank141_220_fullarc_bypass_sweep,3aaed40ec6c14b984c19830ddff512837cbaf68531db77861e85868c90d9a87c,18368.0,18364.0,266_pass_0_fail,0.0,0.00021779375018038958,low,accepted
119,exp260_current_rank141_220_fullarc_bypass_sweep,32c3c6ab18f274d06a03a1d6bf40b3d84058a0facdf4d77c84a104e5e7871fc7,16640.0,16616.0,266_pass_0_fail,0.0,0.0014433488192513277,low,accepted
58,exp260_current_rank141_220_fullarc_bypass_sweep,d7d8c17dd97ced152ef3a3244868880dce865112503df81c8cf6f5b37c920e44,16086.0,15686.0,266_pass_0_fail,0.0,0.025180733691402446,low,accepted
374,exp260_current_rank141_220_fullarc_bypass_sweep,9e80b85f1cfb58d7f2ae57ed6205674adc3742ba75e8f5fbdfdb501b7ce025b4,15742.0,15342.0,266_pass_0_fail,0.0,0.02573813418315376,low,accepted
299,exp264_current_rank321_400_fullarc_bypass_sweep,c8b7e7620b34426a2d0f057c976ddcac69d7e4d2b1763c4de2d9e97742490e57,1790.0,1730.0,266_pass_0_fail,0.0,0.03409421134297614,low,accepted
229,exp264_current_rank321_400_fullarc_bypass_sweep,27141bd718f1f76a1d2c668f71dbee934047d101dcf0bff4a55438b3c448192a,1409.0,1389.0,266_pass_0_fail,0.0,0.014296169144336462,low,accepted
235,exp264_current_rank321_400_fullarc_bypass_sweep,ab7490995905010ce02944ab0f3f1a426f2a96ac08ee1b04cd2c2e8f06c18f68,1338.0,1306.0,266_pass_0_fail,0.0,0.02420693085179729,low,accepted
339,exp264_current_rank321_400_fullarc_bypass_sweep,dfe63e3ad49c105d9723d33b00b9c13fac7611299df1dd8971a55bf1698079c2,884.0,742.0,266_pass_0_fail,0.0,0.1751078194702629,low,accepted
129,exp264_current_rank321_400_fullarc_bypass_sweep,ab699c9365d61118099d6010c09e9ab298f7c5ef542b09c2f43e0b11f5911a54,807.0,647.0,266_pass_0_fail,0.0,0.2209773737690483,low,accepted
144,exp264_current_rank321_400_fullarc_bypass_sweep,c2d0311c3a019bc0bbf94429f7084fbc8e2a4f6982c93ca5d05c121dd7b67bf9,771.0,739.0,266_pass_0_fail,0.0,0.04239045261512773,low,accepted
318,exp264_current_rank321_400_fullarc_bypass_sweep,40c1593e9ad3a6f433399d0e12054a488629eed66a355f61d9f7d9929ce41f34,739.0,707.0,266_pass_0_fail,0.0,0.044267255051629026,low,accepted
26,exp264_current_rank321_400_fullarc_bypass_sweep,c099908e650a6f19920add0caf0438ad769eda63b5dc9e05df7765fba6630cf1,724.0,694.0,266_pass_0_fail,0.0,0.042319431878911955,low,accepted
