node_idx,op_type,output_idx,tensor,shape
0,Cast,0,safe_name_42,1x10x30x30
1,ReduceSum,0,safe_name_43,1x1x30x30
2,Greater,0,safe_name_44,1x1x30x30
3,Cast,0,safe_name_45,1x1x30x30
4,ReduceMax,0,safe_name_46,1x1x30x1
5,ReduceMax,0,safe_name_47,1x1x1x30
6,ReduceSum,0,safe_name_48,1x1x1x1
7,ReduceSum,0,safe_name_49,1x1x1x1
8,Greater,0,safe_name_50,1x1x1x1
9,Expand,0,safe_name_51,1x1x1x1
10,Mul,0,safe_name_52,1x1x1x1
11,Mul,0,safe_name_53,1x1x1x1
12,Cast,0,safe_name_54,1x1x1x1
13,Cast,0,safe_name_55,1x1x1x1
14,Reshape,0,safe_name_56,1x1x1x30
15,Reshape,0,safe_name_57,1x1x30x1
16,Tile,0,safe_name_58,1x1x1x30
17,Tile,0,safe_name_59,1x1x30x1
18,Add,0,safe_name_60,1x1x1x30
19,Add,0,safe_name_61,1x1x30x1
20,Clip,0,safe_name_62,1x1x1x30
21,Clip,0,safe_name_63,1x1x30x1
22,Reshape,0,safe_name_64,30
23,Reshape,0,safe_name_65,30
24,Gather,0,safe_name_66,1x10x30x30
25,Gather,0,safe_name_67,1x10x30x30
26,Tile,0,safe_name_68,1x1x1x30
27,Tile,0,safe_name_69,1x1x30x1
28,Less,0,safe_name_70,1x1x1x30
29,Less,0,safe_name_71,1x1x30x1
30,Tile,0,safe_name_72,1x1x1x30
31,Tile,0,safe_name_73,1x1x30x1
32,Less,0,safe_name_74,1x1x1x30
33,Less,0,safe_name_75,1x1x30x1
34,And,0,safe_name_76,1x1x30x30
35,And,0,safe_name_77,1x1x30x30
36,And,0,safe_name_78,1x1x30x30
37,Not,0,safe_name_79,1x1x1x1
38,And,0,safe_name_80,1x1x30x30
39,Or,0,safe_name_81,1x1x30x30
40,Where,0,safe_name_82,1x10x30x30
41,Where,0,safe_name_83,1x10x30x30
42,Where,0,safe_name_84,1x10x30x30
43,ReduceSum,0,safe_name_85,1x10x1x1
44,ReduceSum,0,safe_name_86,1x10x1x1
45,ArgMax,0,safe_name_87,1x1x1x1
46,ArgMax,0,safe_name_88,1x1x1x1
47,Cast,0,safe_name_89,1x1x1x1
48,Cast,0,safe_name_90,1x1x1x1
49,ArgMax,0,safe_name_91,1x1x30x30
50,Cast,0,safe_name_92,1x1x30x30
51,ArgMax,0,safe_name_93,1x1x30x30
52,Cast,0,safe_name_94,1x1x30x30
53,Tile,0,safe_name_95,1x1x30x30
54,Tile,0,safe_name_96,1x1x30x30
55,Equal,0,safe_name_97,1x1x30x30
56,Equal,0,safe_name_98,1x1x30x30
57,Not,0,safe_name_99,1x1x30x30
58,Not,0,safe_name_100,1x1x30x30
59,And,0,safe_name_101,1x1x30x30
60,And,0,safe_name_102,1x1x30x30
61,Expand,0,safe_name_103,1x1x30x30
62,Mul,0,safe_name_104,1x1x30x30
63,Where,0,safe_name_105,1x1x30x30
64,MaxPool,0,safe_name_106,1x1x30x30
65,Where,0,safe_name_107,1x1x30x30
66,MaxPool,0,safe_name_108,1x1x30x30
67,Where,0,safe_name_109,1x1x30x30
68,MaxPool,0,safe_name_110,1x1x30x30
69,Where,0,safe_name_111,1x1x30x30
70,MaxPool,0,safe_name_112,1x1x30x30
71,Where,0,safe_name_113,1x1x30x30
72,MaxPool,0,safe_name_114,1x1x30x30
73,Where,0,safe_name_115,1x1x30x30
74,MaxPool,0,safe_name_116,1x1x30x30
75,Where,0,safe_name_117,1x1x30x30
76,MaxPool,0,safe_name_118,1x1x30x30
77,Where,0,safe_name_119,1x1x30x30
78,MaxPool,0,safe_name_120,1x1x30x30
79,Where,0,safe_name_121,1x1x30x30
80,MaxPool,0,safe_name_122,1x1x30x30
81,Where,0,safe_name_123,1x1x30x30
82,MaxPool,0,safe_name_124,1x1x30x30
83,Where,0,safe_name_125,1x1x30x30
84,MaxPool,0,safe_name_126,1x1x30x30
85,Where,0,safe_name_127,1x1x30x30
86,Mul,0,safe_name_128,1x1x30x30
87,Where,0,safe_name_129,1x1x30x30
88,MaxPool,0,safe_name_130,1x1x30x30
89,Where,0,safe_name_131,1x1x30x30
90,MaxPool,0,safe_name_132,1x1x30x30
91,Where,0,safe_name_133,1x1x30x30
92,MaxPool,0,safe_name_134,1x1x30x30
93,Where,0,safe_name_135,1x1x30x30
94,MaxPool,0,safe_name_136,1x1x30x30
95,Where,0,safe_name_137,1x1x30x30
96,MaxPool,0,safe_name_138,1x1x30x30
97,Where,0,safe_name_139,1x1x30x30
98,MaxPool,0,safe_name_140,1x1x30x30
99,Where,0,safe_name_141,1x1x30x30
100,MaxPool,0,safe_name_142,1x1x30x30
101,Where,0,safe_name_143,1x1x30x30
102,MaxPool,0,safe_name_144,1x1x30x30
103,Where,0,safe_name_145,1x1x30x30
104,MaxPool,0,safe_name_146,1x1x30x30
105,Where,0,safe_name_147,1x1x30x30
106,MaxPool,0,safe_name_148,1x1x30x30
107,Where,0,safe_name_149,1x1x30x30
108,MaxPool,0,safe_name_150,1x1x30x30
109,Where,0,safe_name_151,1x1x30x30
110,Mul,0,safe_name_152,1x1x30x30
111,Cast,0,safe_name_153,1x1x30x30
112,Cast,0,safe_name_154,1x1x30x30
113,Cast,0,safe_name_155,1x1x30x30
114,Cast,0,safe_name_156,1x1x30x30
115,Clip,0,safe_name_157,1x1x30x30
116,Clip,0,safe_name_158,1x1x30x30
117,Unsqueeze,0,safe_name_159,1x1x30x30x1
118,Unsqueeze,0,safe_name_160,1x1x30x30x1
119,ConstantOfShape,0,safe_name_161,1000
120,ScatterND,0,safe_name_162,1000
121,ScatterND,0,safe_name_163,1000
122,ScatterND,0,safe_name_164,1000
123,ScatterND,0,safe_name_165,1000
124,ReduceMax,0,safe_name_166,
125,ReduceMax,0,safe_name_167,
126,Greater,0,safe_name_168,
127,Where,0,safe_name_169,1x1x30x30
128,Where,0,safe_name_170,1x1x30x30
129,Not,0,safe_name_171,
130,And,0,safe_name_172,1x1x30x30
131,And,0,safe_name_173,1x1x30x30
132,Or,0,safe_name_174,1x1x30x30
133,Where,0,safe_name_175,1x1x1x1
134,Where,0,safe_name_176,1x1x30x30
135,ReduceMin,0,safe_name_177,1x1x1x1
136,Equal,0,safe_name_178,1x1x30x30
137,Where,0,safe_name_179,1x1x30x30
138,ReduceMin,0,safe_name_180,1x1x1x1
139,Equal,0,safe_name_181,1x1x30x30
140,Where,0,safe_name_182,1x1x30x30
141,ReduceMin,0,safe_name_183,1x1x1x1
142,Equal,0,safe_name_184,1x1x30x30
143,Less,0,safe_name_185,1x1x1x1
