node_idx,op_type,output_idx,tensor,shape
0,Cast,0,safe_name_12,1x10x30x30
1,Gather,0,safe_name_13,1x1x30x30
2,Gather,0,safe_name_14,1x1x10x30
3,Gather,0,safe_name_15,1x1x10x10
4,Gather,0,safe_name_16,1x1x30x30
5,Gather,0,safe_name_17,1x1x10x30
6,Gather,0,safe_name_18,1x1x10x10
7,Gather,0,safe_name_19,1x1x30x30
8,Gather,0,safe_name_20,1x1x10x30
9,Gather,0,safe_name_21,1x1x10x10
10,Cast,0,safe_name_22,1x1x10x10
11,Cast,0,safe_name_23,1x1x10x10
12,Cast,0,safe_name_24,1x1x10x10
13,Sum,0,safe_name_25,1x1x10x10
14,ReduceMax,0,safe_name_26,1x1x10
15,Squeeze,0,safe_name_27,1x10
16,Greater,0,safe_name_28,1x10
17,Cast,0,safe_name_29,1x10
18,ArgMax,0,safe_name_30,1
19,Gather,0,safe_name_31,1x1x1x10
20,ReduceMax,0,safe_name_32,1x1x10
21,Squeeze,0,safe_name_33,1x10
22,ArgMax,0,safe_name_34,1
23,Gather,0,safe_name_35,1x1x10x1
24,ReduceMax,0,safe_name_36,1x1x10
25,Squeeze,0,safe_name_37,1x10
26,Pad,0,safe_name_38,1x19
27,Add,0,safe_name_39,10
28,Gather,0,safe_name_40,1x10
29,Less,0,safe_name_41,1x10
30,Cast,0,safe_name_42,1x10
31,CumSum,0,safe_name_43,1x10
32,Cast,0,safe_name_44,1x10
33,Less,0,safe_name_45,1x10
34,Cast,0,safe_name_46,1x10
35,ReduceSum,0,safe_name_47,1
36,Cast,0,safe_name_48,1
37,Pad,0,safe_name_49,1x19
38,Add,0,safe_name_50,10
39,Gather,0,safe_name_51,1x10
40,Less,0,safe_name_52,1x10
41,Cast,0,safe_name_53,1x10
42,CumSum,0,safe_name_54,1x10
43,Cast,0,safe_name_55,1x10
44,Less,0,safe_name_56,1x10
45,Cast,0,safe_name_57,1x10
46,ReduceSum,0,safe_name_58,1
47,Cast,0,safe_name_59,1
48,Unsqueeze,0,safe_name_60,1x1x1x1
49,Unsqueeze,0,safe_name_61,1x1x1x1
50,Add,0,safe_name_62,1x1x1x1
51,Less,0,safe_name_63,1x1x10x1
52,Not,0,safe_name_64,1x1x10x1
53,Less,0,safe_name_65,1x1x10x1
54,And,0,safe_name_66,1x1x10x1
55,Cast,0,safe_name_67,1x1x10x1
56,Unsqueeze,0,safe_name_68,1x1x1x1
57,Unsqueeze,0,safe_name_69,1x1x1x1
58,Add,0,safe_name_70,1x1x1x1
59,Less,0,safe_name_71,1x1x1x10
60,Not,0,safe_name_72,1x1x1x10
61,Less,0,safe_name_73,1x1x1x10
62,And,0,safe_name_74,1x1x1x10
63,Cast,0,safe_name_75,1x1x1x10
64,Mul,0,safe_name_76,1x1x10x10
65,Mul,0,safe_name_77,1x1x10x10
66,ReduceSum,0,safe_name_78,1x1x1x1
