idx,output_shape,output_color_count,component_count,shape_match_count,exactish_count,max_color,largest_color,largest_size,same_shape_input_crop_exact_count,first_exactish
0,3x3,2,14,3,0,8,8,8,1,{}
1,3x3,2,15,3,0,8,8,8,1,{}
2,3x3,2,13,3,0,8,8,9,1,{}
3,3x3,2,18,3,1,8,8,7,1,"{'component_index': 5, 'color': 1, 'size': 6, 'r0': 1, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
4,3x3,2,20,3,1,8,8,8,1,"{'component_index': 16, 'color': 1, 'size': 6, 'r0': 6, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
5,3x3,2,12,3,1,8,1,8,1,"{'component_index': 9, 'color': 1, 'size': 8, 'r0': 6, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
6,3x3,2,10,3,1,8,8,8,1,"{'component_index': 1, 'color': 1, 'size': 6, 'r0': 0, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
7,3x3,2,10,3,1,8,8,9,1,"{'component_index': 1, 'color': 1, 'size': 7, 'r0': 0, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
8,3x3,2,7,3,1,8,8,9,1,"{'component_index': 1, 'color': 1, 'size': 8, 'r0': 0, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
9,3x3,2,11,3,1,1,1,8,1,"{'component_index': 9, 'color': 1, 'size': 8, 'r0': 6, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
10,3x3,2,12,3,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
11,3x3,2,9,3,1,1,1,8,1,"{'component_index': 1, 'color': 1, 'size': 8, 'r0': 1, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
12,3x3,2,9,4,1,1,8,9,1,"{'component_index': 4, 'color': 1, 'size': 8, 'r0': 4, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
